homeinsurance,hotelsaccommodations,energyutilities,homeimprovement,haircare,homefurnishings,automotiveindustry,health,footwear,groceryfoodretailers,undergarments,tobaccoproducts,nonalcoholicbeverages,entertainmentindustry,computerselectronics,socialservices,mobilewireless,bookretailers,ticketsales,vehicleshopping,electricity,facebodycare,computervideogames,autoinsurance,homegarden,retirementpension,oilgas,apparel,internettelecom,vehiclebrands,homefinancing,homeappliances,womensclothing,childrensclothing,homemakinginteriordecor,realestate,fooddrink,newspapers,movies,beautyfitness,mensclothing,wastemanagement,realestateagencies,healthinsurance,drugsmedications,chemicalsindustry,medicalfacilitiesservices,restaurants,date,consumption,income,michigan_index,tbill,cci,smp500
62,43,62,53,47,52,46,62,48,50,52,49,59,50,47,77,69,50,65,53,63,48,66,52,52,63,50,54,76,50,80,58,57,51,58,58,55,66,77,71,51,70,43,63,56,48,69,52,01jan2009,-1.54888,12971.02,61.200001,.13,96.733391,825.88
62,43,63,52,48,49,54,63,43,48,50,50,59,63,43,77,68,39,60,51,65,47,62,51,50,65,50,53,77,51,74,52,59,50,51,57,52,66,71,66,48,64,45,59,57,51,71,52,01feb2009,-1.55568,12813.805,56.299999,.30000001,96.707764,735.09003
57,44,65,54,48,48,58,63,46,48,48,60,57,37,41,75,68,38,69,51,62,46,59,51,52,64,48,52,75,49,81,51,65,51,44,58,52,64,68,67,51,69,45,60,56,51,71,49,01mar2009,-2.1020701,12778.19,57.299999,.20999999,96.906517,797.87
62,43,65,54,53,45,67,66,47,48,46,61,61,34,42,75,68,38,73,50,64,48,59,51,56,63,48,53,76,52,74,50,69,48,42,58,52,64,69,69,56,77,45,55,56,53,70,49,01apr2009,-2.35287,12837.219,65.099998,.16,97.347618,872.81
58,42,59,52,52,44,67,59,43,47,45,48,54,31,39,67,69,36,69,50,58,47,58,48,54,49,45,50,73,53,58,47,65,52,41,56,49,62,65,66,52,70,42,51,52,48,66,48,01may2009,-2.34816,13027.964,68.699997,.18000001,97.727158,919.14001
57,44,56,54,49,42,62,56,38,46,43,50,51,32,40,66,77,36,68,49,54,45,59,49,54,51,44,45,75,50,56,47,57,38,41,55,48,61,65,64,48,64,45,54,53,46,67,46,01jun2009,-2.17485,12825.058,70.800003,.18000001,97.884293,919.32001
60,47,56,53,51,45,43,58,41,48,45,49,52,32,39,68,72,38,72,53,55,45,57,50,51,53,44,48,72,52,53,49,56,44,41,56,49,61,67,64,46,63,46,55,54,43,66,48,01jul2009,-1.37959,12774.081,66,.18000001,97.83979,987.47998
58,42,57,52,52,46,35,58,44,48,44,47,51,33,41,71,71,44,65,55,58,46,58,50,52,54,44,51,76,52,52,51,58,50,44,55,50,64,66,64,45,63,44,57,52,44,66,48,01aug2009,-.45741999,12743.854,65.699997,.17,97.88279,1020.62
56,36,56,49,48,43,33,59,43,46,41,49,49,40,39,70,66,37,54,43,55,42,51,45,47,52,45,51,72,47,45,48,56,51,43,49,48,62,59,59,45,61,39,55,50,48,65,43,01sep2009,-.78858,12763.787,73.5,.12,98.057838,1057.08
56,35,56,49,47,43,33,59,48,44,42,46,49,30,37,71,67,31,59,41,57,44,51,43,46,53,44,59,71,43,45,48,58,59,39,46,48,61,62,59,46,59,36,55,51,48,66,43,01oct2009,-.46601,12709.966,70.599998,.07,98.087013,1036.1899
50,31,52,46,43,46,30,56,48,49,44,44,49,31,40,70,68,34,52,40,51,44,58,39,46,51,40,52,71,41,40,54,55,51,41,42,52,56,65,57,46,58,35,52,49,43,61,42,01nov2009,-.3671,12743.645,67.400002,.050000001,98.10083,1095.63
52,31,50,45,45,43,28,51,58,49,56,44,54,33,40,66,70,45,53,41,51,49,63,39,46,54,41,60,73,42,40,56,57,50,40,40,56,57,64,60,58,54,33,50,48,39,59,42,01dec2009,.55802,12808.646,72.5,.050000001,98.272217,1115.1
